id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,0.010122902,0.010209515,0.0101910485,0.01017661,0.010266881,0.010112733,0.010107266,0.010066145,0.010196398,0.010141803,0.0100493105,0.010101014,0.010235522,0.010170146,0.010162941,0.010159928,0.010140735,0.010030883,0.010192747,0.010247466,0.010032812,0.010165255,0.010257535,0.010080156,0.010057166,0.010134415,0.010269281,0.00999594,0.0100053735,0.01009887,0.0101633975,0.010041586,0.010084494,0.010176341,0.010137535,0.010085826,0.010132762,0.010168581,0.010124561,0.010099638,0.009940514,0.009913738,0.010108542,0.010170815,0.009969012,0.010127077,0.009968771,0.009995676,0.010138719,0.010065063,0.0101468945,0.010012935,0.010164972,0.009973891,0.009913621,0.009993959,0.009971267,0.009973742,0.010020815,0.010253097,0.010010716,0.010242406,0.010099755,0.010048734,0.010027214,0.010104387,0.010148858,0.010107134,0.0101016145,0.010036841,0.010003582,0.010129686,0.009952922,0.010015078,0.010173813,0.010061174,0.010120875,0.010096522,0.010115351,0.010259926,0.010039522,0.009993935,0.010171722,0.009906493,0.010167308,0.010155253,0.010007053,0.010057354,0.010085446,0.0101238405,0.010222178,0.010044394,0.010143624,0.010093428,0.010064424,0.010249316,0.010086106,0.010188693,0.010126717
7,0.010122902,0.010209515,0.0101910485,0.01017661,0.010266881,0.010112733,0.010107266,0.010066145,0.010196398,0.010141803,0.0100493105,0.010101014,0.010235522,0.010170146,0.010162941,0.010159928,0.010140735,0.010030883,0.010192747,0.010247466,0.010032812,0.010165255,0.010257535,0.010080156,0.010057166,0.010134415,0.010269281,0.00999594,0.0100053735,0.01009887,0.0101633975,0.010041586,0.010084494,0.010176341,0.010137535,0.010085826,0.010132762,0.010168581,0.010124561,0.010099638,0.009940514,0.009913738,0.010108542,0.010170815,0.009969012,0.010127077,0.009968771,0.009995676,0.010138719,0.010065063,0.0101468945,0.010012935,0.010164972,0.009973891,0.009913621,0.009993959,0.009971267,0.009973742,0.010020815,0.010253097,0.010010716,0.010242406,0.010099755,0.010048734,0.010027214,0.010104387,0.010148858,0.010107134,0.0101016145,0.010036841,0.010003582,0.010129686,0.009952922,0.010015078,0.010173813,0.010061174,0.010120875,0.010096522,0.010115351,0.010259926,0.010039522,0.009993935,0.010171722,0.009906493,0.010167308,0.010155253,0.010007053,0.010057354,0.010085446,0.0101238405,0.010222178,0.010044394,0.010143624,0.010093428,0.010064424,0.010249316,0.010086106,0.010188693,0.010126717
9,0.010122902,0.010209515,0.0101910485,0.01017661,0.010266881,0.010112733,0.010107266,0.010066145,0.010196398,0.010141803,0.0100493105,0.010101014,0.010235522,0.010170146,0.010162941,0.010159928,0.010140735,0.010030883,0.010192747,0.010247466,0.010032812,0.010165255,0.010257535,0.010080156,0.010057166,0.010134415,0.010269281,0.00999594,0.0100053735,0.01009887,0.0101633975,0.010041586,0.010084494,0.010176341,0.010137535,0.010085826,0.010132762,0.010168581,0.010124561,0.010099638,0.009940514,0.009913738,0.010108542,0.010170815,0.009969012,0.010127077,0.009968771,0.009995676,0.010138719,0.010065063,0.0101468945,0.010012935,0.010164972,0.009973891,0.009913621,0.009993959,0.009971267,0.009973742,0.010020815,0.010253097,0.010010716,0.010242406,0.010099755,0.010048734,0.010027214,0.010104387,0.010148858,0.010107134,0.0101016145,0.010036841,0.010003582,0.010129686,0.009952922,0.010015078,0.010173813,0.010061174,0.010120875,0.010096522,0.010115351,0.010259926,0.010039522,0.009993935,0.010171722,0.009906493,0.010167308,0.010155253,0.010007053,0.010057354,0.010085446,0.0101238405,0.010222178,0.010044394,0.010143624,0.010093428,0.010064424,0.010249316,0.010086106,0.010188693,0.010126717
12,0.010122902,0.010209515,0.0101910485,0.01017661,0.010266881,0.010112733,0.010107266,0.010066145,0.010196398,0.010141803,0.0100493105,0.010101014,0.010235522,0.010170146,0.010162941,0.010159928,0.010140735,0.010030883,0.010192747,0.010247466,0.010032812,0.010165255,0.010257535,0.010080156,0.010057166,0.010134415,0.010269281,0.00999594,0.0100053735,0.01009887,0.0101633975,0.010041586,0.010084494,0.010176341,0.010137535,0.010085826,0.010132762,0.010168581,0.010124561,0.010099638,0.009940514,0.009913738,0.010108542,0.010170815,0.009969012,0.010127077,0.009968771,0.009995676,0.010138719,0.010065063,0.0101468945,0.010012935,0.010164972,0.009973891,0.009913621,0.009993959,0.009971267,0.009973742,0.010020815,0.010253097,0.010010716,0.010242406,0.010099755,0.010048734,0.010027214,0.010104387,0.010148858,0.010107134,0.0101016145,0.010036841,0.010003582,0.010129686,0.009952922,0.010015078,0.010173813,0.010061174,0.010120875,0.010096522,0.010115351,0.010259926,0.010039522,0.009993935,0.010171722,0.009906493,0.010167308,0.010155253,0.010007053,0.010057354,0.010085446,0.0101238405,0.010222178,0.010044394,0.010143624,0.010093428,0.010064424,0.010249316,0.010086106,0.010188693,0.010126717
13,0.010122902,0.010209515,0.0101910485,0.01017661,0.010266881,0.010112733,0.010107266,0.010066145,0.010196398,0.010141803,0.0100493105,0.010101014,0.010235522,0.010170146,0.010162941,0.010159928,0.010140735,0.010030883,0.010192747,0.010247466,0.010032812,0.010165255,0.010257535,0.010080156,0.010057166,0.010134415,0.010269281,0.00999594,0.0100053735,0.01009887,0.0101633975,0.010041586,0.010084494,0.010176341,0.010137535,0.010085826,0.010132762,0.010168581,0.010124561,0.010099638,0.009940514,0.009913738,0.010108542,0.010170815,0.009969012,0.010127077,0.009968771,0.009995676,0.010138719,0.010065063,0.0101468945,0.010012935,0.010164972,0.009973891,0.009913621,0.009993959,0.009971267,0.009973742,0.010020815,0.010253097,0.010010716,0.010242406,0.010099755,0.010048734,0.010027214,0.010104387,0.010148858,0.010107134,0.0101016145,0.010036841,0.010003582,0.010129686,0.009952922,0.010015078,0.010173813,0.010061174,0.010120875,0.010096522,0.010115351,0.010259926,0.010039522,0.009993935,0.010171722,0.009906493,0.010167308,0.010155253,0.010007053,0.010057354,0.010085446,0.0101238405,0.010222178,0.010044394,0.010143624,0.010093428,0.010064424,0.010249316,0.010086106,0.010188693,0.010126717
16,0.010122902,0.010209515,0.0101910485,0.01017661,0.010266881,0.010112733,0.010107266,0.010066145,0.010196398,0.010141803,0.0100493105,0.010101014,0.010235522,0.010170146,0.010162941,0.010159928,0.010140735,0.010030883,0.010192747,0.010247466,0.010032812,0.010165255,0.010257535,0.010080156,0.010057166,0.010134415,0.010269281,0.00999594,0.0100053735,0.01009887,0.0101633975,0.010041586,0.010084494,0.010176341,0.010137535,0.010085826,0.010132762,0.010168581,0.010124561,0.010099638,0.009940514,0.009913738,0.010108542,0.010170815,0.009969012,0.010127077,0.009968771,0.009995676,0.010138719,0.010065063,0.0101468945,0.010012935,0.010164972,0.009973891,0.009913621,0.009993959,0.009971267,0.009973742,0.010020815,0.010253097,0.010010716,0.010242406,0.010099755,0.010048734,0.010027214,0.010104387,0.010148858,0.010107134,0.0101016145,0.010036841,0.010003582,0.010129686,0.009952922,0.010015078,0.010173813,0.010061174,0.010120875,0.010096522,0.010115351,0.010259926,0.010039522,0.009993935,0.010171722,0.009906493,0.010167308,0.010155253,0.010007053,0.010057354,0.010085446,0.0101238405,0.010222178,0.010044394,0.010143624,0.010093428,0.010064424,0.010249316,0.010086106,0.010188693,0.010126717
19,0.010122902,0.010209515,0.0101910485,0.01017661,0.010266881,0.010112733,0.010107266,0.010066145,0.010196398,0.010141803,0.0100493105,0.010101014,0.010235522,0.010170146,0.010162941,0.010159928,0.010140735,0.010030883,0.010192747,0.010247466,0.010032812,0.010165255,0.010257535,0.010080156,0.010057166,0.010134415,0.010269281,0.00999594,0.0100053735,0.01009887,0.0101633975,0.010041586,0.010084494,0.010176341,0.010137535,0.010085826,0.010132762,0.010168581,0.010124561,0.010099638,0.009940514,0.009913738,0.010108542,0.010170815,0.009969012,0.010127077,0.009968771,0.009995676,0.010138719,0.010065063,0.0101468945,0.010012935,0.010164972,0.009973891,0.009913621,0.009993959,0.009971267,0.009973742,0.010020815,0.010253097,0.010010716,0.010242406,0.010099755,0.010048734,0.010027214,0.010104387,0.010148858,0.010107134,0.0101016145,0.010036841,0.010003582,0.010129686,0.009952922,0.010015078,0.010173813,0.010061174,0.010120875,0.010096522,0.010115351,0.010259926,0.010039522,0.009993935,0.010171722,0.009906493,0.010167308,0.010155253,0.010007053,0.010057354,0.010085446,0.0101238405,0.010222178,0.010044394,0.010143624,0.010093428,0.010064424,0.010249316,0.010086106,0.010188693,0.010126717
23,0.010122902,0.010209515,0.0101910485,0.01017661,0.010266881,0.010112733,0.010107266,0.010066145,0.010196398,0.010141803,0.0100493105,0.010101014,0.010235522,0.010170146,0.010162941,0.010159928,0.010140735,0.010030883,0.010192747,0.010247466,0.010032812,0.010165255,0.010257535,0.010080156,0.010057166,0.010134415,0.010269281,0.00999594,0.0100053735,0.01009887,0.0101633975,0.010041586,0.010084494,0.010176341,0.010137535,0.010085826,0.010132762,0.010168581,0.010124561,0.010099638,0.009940514,0.009913738,0.010108542,0.010170815,0.009969012,0.010127077,0.009968771,0.009995676,0.010138719,0.010065063,0.0101468945,0.010012935,0.010164972,0.009973891,0.009913621,0.009993959,0.009971267,0.009973742,0.010020815,0.010253097,0.010010716,0.010242406,0.010099755,0.010048734,0.010027214,0.010104387,0.010148858,0.010107134,0.0101016145,0.010036841,0.010003582,0.010129686,0.009952922,0.010015078,0.010173813,0.010061174,0.010120875,0.010096522,0.010115351,0.010259926,0.010039522,0.009993935,0.010171722,0.009906493,0.010167308,0.010155253,0.010007053,0.010057354,0.010085446,0.0101238405,0.010222178,0.010044394,0.010143624,0.010093428,0.010064424,0.010249316,0.010086106,0.010188693,0.010126717
24,0.010122902,0.010209515,0.0101910485,0.01017661,0.010266881,0.010112733,0.010107266,0.010066145,0.010196398,0.010141803,0.0100493105,0.010101014,0.010235522,0.010170146,0.010162941,0.010159928,0.010140735,0.010030883,0.010192747,0.010247466,0.010032812,0.010165255,0.010257535,0.010080156,0.010057166,0.010134415,0.010269281,0.00999594,0.0100053735,0.01009887,0.0101633975,0.010041586,0.010084494,0.010176341,0.010137535,0.010085826,0.010132762,0.010168581,0.010124561,0.010099638,0.009940514,0.009913738,0.010108542,0.010170815,0.009969012,0.010127077,0.009968771,0.009995676,0.010138719,0.010065063,0.0101468945,0.010012935,0.010164972,0.009973891,0.009913621,0.009993959,0.009971267,0.009973742,0.010020815,0.010253097,0.010010716,0.010242406,0.010099755,0.010048734,0.010027214,0.010104387,0.010148858,0.010107134,0.0101016145,0.010036841,0.010003582,0.010129686,0.009952922,0.010015078,0.010173813,0.010061174,0.010120875,0.010096522,0.010115351,0.010259926,0.010039522,0.009993935,0.010171722,0.009906493,0.010167308,0.010155253,0.010007053,0.010057354,0.010085446,0.0101238405,0.010222178,0.010044394,0.010143624,0.010093428,0.010064424,0.010249316,0.010086106,0.010188693,0.010126717
28,0.010122902,0.010209515,0.0101910485,0.01017661,0.010266881,0.010112733,0.010107266,0.010066145,0.010196398,0.010141803,0.0100493105,0.010101014,0.010235522,0.010170146,0.010162941,0.010159928,0.010140735,0.010030883,0.010192747,0.010247466,0.010032812,0.010165255,0.010257535,0.010080156,0.010057166,0.010134415,0.010269281,0.00999594,0.0100053735,0.01009887,0.0101633975,0.010041586,0.010084494,0.010176341,0.010137535,0.010085826,0.010132762,0.010168581,0.010124561,0.010099638,0.009940514,0.009913738,0.010108542,0.010170815,0.009969012,0.010127077,0.009968771,0.009995676,0.010138719,0.010065063,0.0101468945,0.010012935,0.010164972,0.009973891,0.009913621,0.009993959,0.009971267,0.009973742,0.010020815,0.010253097,0.010010716,0.010242406,0.010099755,0.010048734,0.010027214,0.010104387,0.010148858,0.010107134,0.0101016145,0.010036841,0.010003582,0.010129686,0.009952922,0.010015078,0.010173813,0.010061174,0.010120875,0.010096522,0.010115351,0.010259926,0.010039522,0.009993935,0.010171722,0.009906493,0.010167308,0.010155253,0.010007053,0.010057354,0.010085446,0.0101238405,0.010222178,0.010044394,0.010143624,0.010093428,0.010064424,0.010249316,0.010086106,0.010188693,0.010126717
