id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,4.2001593e-06,3.6685782e-05,1.848129e-08,2.5450947e-06,6.1571445e-05,8.423908e-06,2.0403276e-07,4.4013177e-06,3.066741e-07,0.00015640953,9.318608e-05,1.6127164e-07,1.4220769e-06,8.719161e-07,4.387875e-07,3.6093297e-07,0.0013750086,2.2579047e-07,1.1946647e-05,3.345384e-06,0.00013358388,1.9597971e-06,9.542777e-07,3.3825157e-07,4.3874982e-07,3.2222064e-07,0.0019492557,5.8949468e-06,3.737582e-07,1.4265778e-05,4.8487614e-09,0.0018443958,0.0008646322,1.5147672e-05,3.9133397e-08,0.00010259574,1.1753609e-06,2.0022097e-09,4.2209676e-06,2.2336955e-08,6.9291883e-09,2.4411585e-05,3.3696035e-06,7.1738815e-09,6.836233e-05,4.0077625e-06,0.0032673962,1.3141442e-08,4.0154946e-06,9.592642e-05,2.898968e-06,0.9071372,2.1196796e-07,2.36564e-06,4.167062e-05,0.0007987075,0.0007792908,5.262059e-08,1.7328094e-07,3.0371943e-06,2.3433737e-05,9.250353e-06,2.0845764e-06,6.744257e-08,0.026575444,6.8494905e-06,3.1785357e-06,6.749555e-09,9.924541e-06,1.4313679e-07,1.6231631e-06,2.418542e-07,5.0765186e-05,6.6972603e-07,0.0012098934,0.029917328,1.3730514e-08,2.3584432e-06,0.0023312299,2.5800054e-07,4.4208602e-05,9.591771e-09,2.7406987e-08,0.010316974,0.010091768,1.7876596e-07,1.2294345e-08,1.9534136e-08,0.00032763573,9.459551e-07,1.1490944e-06,3.4462626e-06,9.116216e-07,1.5097455e-05,3.0477923e-07,1.1088912e-07,8.187461e-08,0.00011583178,2.0082805e-06
7,4.231662e-07,4.44349e-07,5.6345245e-05,0.0011174637,3.0666165e-08,1.8655662e-06,7.758089e-05,3.0934947e-07,1.1201188e-06,2.0502293e-06,2.865273e-08,1.1631041e-08,7.947328e-08,6.527762e-08,6.0780327e-09,1.1931377e-07,4.155555e-08,5.7736497e-06,9.414277e-08,0.00057392893,8.296906e-08,2.1542509e-07,2.9410248e-08,3.4764696e-08,1.6310528e-07,8.734078e-08,1.5032915e-05,8.086507e-07,7.276386e-08,1.1685754e-06,7.5974333e-07,1.2445254e-05,1.0288005e-06,3.7083137e-08,9.289716e-05,1.1675049e-08,0.0017385269,5.190119e-05,2.7569138e-05,8.851615e-06,3.691228e-05,3.765122e-05,6.2994754e-06,1.3314907e-05,1.4818077e-06,0.00041960718,3.0857363e-09,0.0021062184,6.351451e-06,3.4299042e-08,0.990299,1.8118783e-08,8.151011e-07,2.2543266e-07,5.743146e-07,1.6292122e-05,1.8560135e-08,2.2462125e-05,0.00049641967,2.05767e-05,3.7847187e-06,1.0592659e-06,7.56392e-08,2.8530956e-06,6.6610414e-07,2.1483054e-07,6.005575e-08,5.2698556e-07,7.087086e-05,0.00015995429,5.66963e-09,1.4266375e-07,1.7386029e-07,1.9223824e-06,1.0160692e-08,2.7857016e-06,0.0004985765,1.127689e-08,3.1056555e-07,9.879608e-06,2.2698059e-08,7.1308415e-05,0.0003913982,1.23836535e-05,5.1996507e-05,0.0004721157,3.7378654e-06,0.00068699534,7.144254e-08,1.7389411e-05,5.0674196e-05,5.6267886e-08,1.3642722e-08,1.9859085e-09,4.353483e-05,7.211864e-07,0.00016728346,9.3844996e-08,2.8630307e-06
9,1.2020897e-05,0.9802777,1.5678981e-05,3.2382914e-06,0.011585123,6.036338e-07,1.2866392e-05,2.3634695e-05,0.00044188154,0.00059081725,9.179916e-06,0.00048139357,2.2003838e-05,1.1210191e-05,2.2841194e-05,8.3219755e-05,0.0033756983,9.788267e-07,7.3590827e-06,7.6214536e-05,1.5982703e-05,1.0712999e-05,3.5933758e-07,3.510842e-07,3.3323934e-07,2.698154e-06,0.0005576961,3.2393524e-07,1.3210067e-07,3.3145004e-06,2.753532e-07,4.034537e-06,1.5140203e-05,1.0648374e-06,5.2592437e-08,9.328102e-05,8.6659554e-07,1.433347e-07,6.3617686e-06,2.0872776e-06,1.118046e-06,3.1147006e-06,1.0191746e-06,9.49038e-09,8.6665005e-07,4.2922878e-07,1.6846287e-06,3.5582736e-06,2.7931701e-05,1.740275e-05,3.1836154e-07,5.201027e-06,9.015672e-07,3.350604e-06,2.591603e-05,9.0861664e-07,1.1232332e-05,9.0824756e-07,1.0125877e-06,2.154788e-06,6.0416885e-05,1.12171094e-07,3.36875e-07,2.668377e-07,5.8769867e-05,7.0844095e-07,1.4568273e-07,1.5017259e-08,7.818682e-07,1.0169204e-06,8.147094e-07,7.880982e-07,1.1599957e-06,2.3931865e-05,5.340718e-05,7.598331e-05,2.3386078e-06,1.1394508e-06,8.0929027e-07,1.7686896e-06,1.7355935e-06,2.0027127e-08,5.197664e-08,3.0564092e-06,4.3835603e-06,2.6614123e-06,6.64909e-07,1.6574066e-07,6.926691e-07,1.2730255e-05,4.927702e-07,1.3465718e-05,1.8896875e-06,1.1241145e-06,2.354344e-06,9.707215e-05,4.8892307e-08,1.1480197e-06,0.00169375
12,3.6005313e-06,0.027788814,6.4104984e-06,4.1103693e-05,3.884502e-06,2.1310794e-07,0.00071280287,2.301668e-05,0.0022132858,0.0004480263,2.4725894e-06,0.00078848115,0.00051543687,0.00048944994,0.00014594026,1.1858281e-05,5.1635347e-05,0.00039884096,2.668051e-06,0.8874945,5.9844515e-06,3.8925583e-07,1.1738052e-06,2.5383976e-08,6.9502363e-07,7.642953e-08,0.00393322,1.5154047e-05,2.5420748e-08,1.477371e-07,4.0469257e-07,1.6246868e-05,1.2261878e-06,2.5030994e-07,3.1731165e-07,2.4877343e-06,3.9468803e-05,1.6740879e-06,1.724335e-05,4.2894836e-08,1.6945502e-06,0.003485727,3.0322965e-07,2.824478e-06,4.693569e-06,0.00013674315,2.6096752e-06,0.043954372,0.013044527,2.272486e-06,6.808979e-05,1.0376285e-06,5.248603e-06,2.4400628e-05,8.912675e-06,4.943967e-07,9.990098e-07,2.816151e-06,0.0005386605,3.2344513e-05,1.6817585e-05,1.35912614e-08,1.8801609e-06,1.1493758e-05,9.608057e-06,8.8605236e-07,9.4956255e-07,1.065564e-08,3.8659277e-06,1.249172e-06,8.3628834e-08,9.625225e-06,1.973345e-07,2.165998e-05,2.0040003e-05,3.2893775e-05,6.878025e-06,2.4934777e-06,2.2401355e-05,1.5077285e-05,1.0726083e-06,2.653921e-06,4.3665616e-05,1.6885548e-05,3.8041722e-05,0.00040141898,8.848673e-06,3.5041146e-06,6.3772563e-07,9.317685e-05,2.0502532e-06,4.2068128e-05,2.391801e-06,8.0993834e-07,0.0006690071,0.0112762125,9.445346e-07,3.4744853e-06,0.000716869
13,5.3737553e-05,0.00012295111,1.1838648e-06,5.659077e-07,4.6748746e-06,4.945771e-08,1.0878369e-05,7.311066e-05,0.0140711125,0.0002747339,3.2416778e-05,0.057982456,0.0001864233,0.0014565962,0.9113439,2.9954397e-06,0.0050709727,1.8142522e-05,9.036292e-05,5.6094024e-07,4.488776e-05,4.2681588e-08,1.8241124e-06,1.5726526e-08,1.0168107e-05,2.1060478e-08,0.00011475135,1.687556e-06,1.2503317e-08,1.339725e-08,9.5310774e-08,9.678996e-07,7.533895e-08,3.8098614e-07,5.9943646e-09,9.386745e-05,1.4417407e-07,1.7465787e-07,1.95798e-06,1.9200268e-08,1.2391892e-07,8.435246e-06,2.9602438e-07,1.2994043e-06,3.1577588e-06,7.4797697e-07,2.4685748e-06,1.0330202e-05,0.0008825064,0.00044898596,7.393632e-08,1.5840911e-06,3.9060633e-06,6.584109e-06,1.3174499e-06,7.471902e-08,4.119407e-07,1.3888852e-07,1.5799179e-06,6.0644464e-07,5.374706e-06,3.5119566e-08,1.8135421e-06,2.8300394e-07,2.0887583e-06,1.06406084e-07,3.865019e-07,1.6810128e-09,6.859533e-08,2.9893823e-07,1.513766e-06,2.7109056e-05,2.4763477e-07,4.655237e-06,6.3856587e-06,3.753828e-06,1.815287e-07,1.9694376e-06,4.0705117e-06,8.631548e-07,2.606774e-05,6.54676e-08,1.8273406e-06,5.8347e-06,1.3941158e-06,1.5432919e-07,4.823386e-06,2.077058e-08,6.1316875e-08,0.00010826397,5.8831592e-08,0.0007297,1.46629645e-05,0.00056387007,0.00016002728,0.0058099274,6.21855e-08,4.658152e-05,2.1001102e-05
16,2.7687254e-05,4.9637558e-05,7.356504e-05,0.7570687,5.0394406e-06,7.4405903e-06,9.876418e-05,0.00021213792,3.752371e-05,1.0531491e-05,9.5671185e-06,1.4537462e-05,0.0003202147,0.00017136957,2.2798755e-05,1.021307e-05,7.203463e-05,0.003456362,5.5702818e-05,0.00043427307,9.299496e-06,1.4499649e-05,4.68185e-06,1.0775738e-05,4.0880925e-05,6.565884e-06,5.9211197e-05,0.00012861135,3.4975514e-05,2.7973617e-06,0.00039071887,5.5137825e-05,0.00012511341,7.1559174e-07,4.8242735e-05,3.8208464e-06,0.00036943937,3.026203e-05,5.1234078e-05,7.925975e-06,3.732609e-05,0.000599014,9.068999e-05,0.007595488,7.983399e-05,0.00074223767,3.2382015e-06,0.00015540366,6.141005e-05,1.5278445e-05,0.0066360696,5.3303856e-06,0.007993898,7.1723014e-05,2.4929357e-05,4.1633117e-05,9.0470826e-07,0.00057901524,0.007390729,3.7028978e-05,0.0013133541,2.7053542e-05,0.00073130755,1.43580555e-05,0.00011354394,2.274915e-05,4.0565104e-05,7.165553e-05,0.00046365857,0.008311174,7.0953524e-06,0.00014192762,2.6441178e-06,0.0011578455,7.490073e-07,7.129338e-05,0.00093733496,9.513909e-06,2.7188918e-05,0.00039122705,1.5152602e-06,0.010840232,0.00075675204,8.3096034e-05,5.433968e-06,0.008955836,0.15249534,0.00043821285,7.922121e-06,0.0008792319,0.0010464703,0.00031761097,7.25839e-05,3.0603144e-06,0.010006443,0.00025859737,0.002753834,0.00035921615,0.001148329
19,3.0743583e-06,1.613901e-05,0.00018053773,0.97662634,8.169602e-07,6.891814e-07,1.081974e-05,3.8813455e-06,1.7321788e-06,1.0559534e-06,2.1955718e-06,3.3007046e-07,9.104685e-05,7.268454e-07,5.677773e-07,1.727296e-06,2.0026212e-06,5.990082e-05,3.1227637e-06,0.00017985154,2.931157e-06,1.1104976e-05,5.162311e-07,7.744689e-06,2.6144023e-06,4.6230216e-06,3.4453024e-06,2.0810721e-06,1.0383682e-05,8.6139835e-06,0.00011836849,1.1157437e-05,2.132693e-05,1.0809034e-07,3.381277e-05,3.8682953e-07,0.00021785835,4.4497196e-05,6.370562e-05,1.8437622e-05,1.0009888e-05,6.0426963e-05,3.026044e-05,0.00013022247,1.1184166e-05,0.00017434903,2.7237058e-07,3.1674314e-05,5.9242348e-06,8.941869e-07,0.006110886,4.4892957e-07,0.00015585708,7.6252295e-06,3.1069367e-06,0.00013536114,2.3393581e-07,3.0288014e-05,0.00033539528,9.504026e-06,0.00046248475,5.198408e-06,2.7251948e-05,2.2675579e-06,3.5133307e-05,5.7271936e-06,1.5103578e-06,8.461169e-06,0.0002711966,0.0019398966,6.163694e-07,4.6788905e-06,1.4378733e-07,2.7947475e-05,6.228346e-08,1.5682794e-05,0.00041704427,2.1764248e-07,1.2017049e-06,0.00020086097,1.3957414e-07,0.0021044342,4.4857483e-05,3.3652288e-06,3.292896e-06,0.0038991282,0.0010028483,0.00017631403,5.089397e-07,3.269242e-05,0.0004596982,1.3014047e-05,8.468063e-06,8.193536e-08,0.0012081832,3.49225e-06,0.001853173,1.0394759e-05,0.00073405815
23,2.6831452e-07,2.10508e-06,0.0001605173,1.6523254e-05,2.6842265e-06,0.00042879506,6.3494575e-05,2.1747727e-08,6.955919e-07,2.1765521e-07,7.412316e-07,1.9027145e-07,6.683161e-07,8.422793e-08,2.6482525e-08,0.0035973138,3.4011173e-08,1.6786385e-07,4.914713e-07,5.6466965e-06,6.8466674e-05,7.9855795e-07,2.9544619e-05,0.0004364509,1.1326673e-05,2.1713526e-05,4.46653e-06,1.657268e-07,0.978579,0.012340444,0.0021898851,7.017197e-07,3.4740713e-06,2.7329659e-06,8.542609e-06,9.293285e-06,4.026714e-07,2.2312935e-05,7.813892e-05,0.0001584898,4.765482e-06,5.2222826e-09,1.43777515e-05,1.2191986e-06,6.34784e-07,3.7164295e-06,6.787606e-08,4.34227e-08,4.4329834e-08,1.1286567e-06,1.3977246e-06,3.3498236e-07,8.724615e-06,1.2572033e-06,8.037876e-06,0.0005720777,1.5006985e-06,1.9107238e-06,4.421803e-08,1.0573042e-06,4.6296704e-05,1.020042e-05,2.8253455e-06,1.8525482e-06,4.1253847e-06,2.573477e-05,8.4902183e-07,4.4421315e-05,9.975994e-06,0.0002816938,0.00016808935,1.9915715e-06,1.4149413e-06,7.412161e-05,1.4373872e-07,8.4413733e-07,4.252861e-06,2.3888285e-06,4.4805893e-07,0.00022336857,9.283338e-06,1.9778217e-05,5.2681986e-07,2.3346775e-08,9.1449533e-07,6.926079e-07,2.248323e-06,3.2911532e-05,2.412515e-06,6.7613755e-08,3.8065398e-06,2.329681e-07,1.4818858e-06,1.2911667e-07,9.425091e-09,1.3680404e-08,2.495444e-05,7.359913e-08,0.00012612299
24,6.9816715e-06,1.9847387e-06,4.680144e-06,3.0877786e-07,7.477001e-06,2.7594342e-06,2.1673874e-05,1.3211996e-06,2.5249636e-05,6.7001097e-06,1.0788239e-05,1.3628107e-07,1.0136661e-07,2.3596152e-07,5.1094224e-07,2.8650124e-06,1.5097231e-05,1.8813436e-06,5.935326e-07,6.0402577e-05,3.5186407e-05,2.7372195e-07,6.619999e-08,2.2033164e-07,8.555778e-08,1.3549277e-07,4.8636743e-06,1.550609e-06,5.4974403e-09,1.1802949e-06,7.806173e-08,0.0008007649,6.0604067e-05,5.337638e-06,3.8126013e-06,3.5068453e-07,2.7476344e-05,4.4166845e-06,3.5730782e-06,8.732543e-06,3.2808741e-06,2.0667927e-05,3.7413877e-06,5.166183e-08,7.742273e-06,0.00015760507,7.835355e-07,3.1454997e-06,4.179017e-06,8.9845e-06,8.032981e-06,1.503291e-05,1.1229296e-07,4.7262112e-08,2.0173102e-05,3.731414e-06,6.6877345e-07,5.88313e-07,3.449482e-05,2.4745117e-05,1.5706633e-05,2.5718866e-06,1.1370628e-07,8.8663006e-07,1.52756e-05,1.282999e-06,6.334816e-07,4.2318156e-08,1.652184e-05,4.305865e-07,2.7995108e-07,3.016001e-08,8.250768e-06,9.0258897e-07,2.3677178e-06,1.2075804e-05,2.117533e-07,2.6320697e-07,6.943657e-06,3.1477894e-06,1.8373819e-06,5.031988e-07,8.0217006e-07,6.7140514e-05,0.9983541,3.9905734e-07,3.1618157e-08,5.355706e-07,1.5418404e-07,2.5808584e-05,2.3010246e-06,9.575007e-07,4.0297041e-07,2.6915237e-07,6.3266802e-06,1.9321939e-07,1.9686746e-07,1.5012973e-06,5.2172817e-07
28,5.19503e-05,4.0851108e-05,1.8964375e-06,6.3074094e-06,2.9796647e-06,3.396908e-08,1.0201524e-05,0.00025219138,0.99599105,3.5552865e-05,0.00024814776,0.00010219017,4.6775986e-05,0.00026670907,0.00021211525,3.623381e-06,0.00025944205,9.19719e-05,5.241768e-06,1.6046402e-05,1.5855705e-05,2.4961528e-08,1.5737344e-07,3.6288064e-08,2.5095255e-07,1.7946189e-08,1.23039545e-05,3.6320074e-07,7.477989e-09,6.772598e-09,2.7343503e-07,3.593127e-06,9.072861e-06,1.1936319e-06,1.27161215e-08,1.2267563e-05,3.2397472e-07,2.4017967e-07,9.0000617e-07,3.8162028e-08,1.3858961e-08,7.441097e-05,2.9358748e-07,5.2066778e-08,1.6082366e-06,6.6078455e-06,7.0248404e-07,7.413879e-06,0.00015423591,1.8428584e-05,9.106325e-07,7.3766195e-08,3.5787707e-06,1.0376053e-06,3.2194025e-06,3.208367e-07,1.4852942e-07,2.9219314e-07,5.0159456e-06,4.548074e-07,3.9201373e-06,3.8383874e-08,1.3838525e-07,1.8661449e-07,4.3280747e-06,5.831851e-07,4.72037e-08,4.590878e-10,1.3321235e-06,1.1153653e-06,1.1230942e-06,2.7176134e-07,4.0883275e-08,6.074703e-06,3.1082683e-07,9.1994355e-07,7.760828e-08,5.00941e-08,5.557875e-07,3.9449364e-07,2.1363296e-06,1.7953012e-07,1.819869e-07,6.8257655e-06,9.9664985e-06,5.074517e-07,8.648694e-06,1.2326533e-08,4.7454293e-08,0.000286735,2.2517348e-07,2.5905276e-05,5.710575e-06,6.61293e-05,0.0015007072,7.2406896e-05,1.0648758e-08,2.5432669e-06,8.983105e-06
